Ticker,Filing Date,Items
AA,1/15/2020,"2.02, 9.01"
AA,2/3/2020,"8.01, 9.01"
AA,4/22/2020,"1.01, 2.02, 2.03, 8.01, 9.01"
AA,5/11/2020,5.07
AA,6/25/2020,"1.01, 2.03, 9.01"
AA,7/7/2020,8.01
AA,7/8/2020,"2.02, 7.01, 9.01"
AA,7/13/2020,"1.01, 2.03, 7.01, 9.01"
AA,7/15/2020,"2.02, 9.01"
AA,10/5/2020,"5.02, 8.01"
AA,10/9/2020,"8.01, 9.01"
AA,10/14/2020,"2.02, 9.01"
AA,11/30/2020,"8.01, 9.01"
AA,12/17/2020,"8.01, 9.01"
AA,1/20/2021,"2.02, 9.01"
AA,3/4/2021,"1.01, 2.03, 9.01"
AA,3/8/2021,"8.01, 9.01"
AA,3/19/2021,"8.01, 9.01"
AA,3/24/2021,"1.01, 2.03, 8.01, 9.01"
AA,4/6/2021,"2.01, 9.01"
AA,4/15/2021,"2.02, 9.01"
AA,5/11/2021,5.07
AA,6/28/2021,"8.01, 9.01"
AA,7/15/2021,"2.02, 9.01"
AA,8/31/2021,"8.01, 9.01"
AA,9/20/2021,"8.01, 9.01"
AA,9/30/2021,8.01
AA,10/14/2021,"2.02, 8.01, 9.01"
AA,11/1/2021,"8.01, 9.01"
AA,11/8/2021,"8.01, 9.01"
AA,11/17/2021,"8.01, 9.01"
AA,12/6/2021,5.02
AA,12/13/2021,"2.05, 9.01"
AA,12/14/2021,"8.01, 9.01"
AA,12/17/2021,5.02
AA,12/29/2021,"8.01, 9.01"
AA,1/19/2022,"2.02, 9.01"
AA,4/20/2022,"2.02, 9.01"
AA,5/11/2022,5.07
AA,6/29/2022,"1.01, 2.03, 7.01, 9.01"
AA,7/20/2022,"2.02, 8.01, 9.01"
AA,8/8/2022,"8.01, 9.01"
AA,9/23/2022,5.02
AA,10/19/2022,"2.02, 9.01"
AAON,1/3/2018,"8.01, 9.01"
AAON,2/27/2018,"2.02, 7.01, 9.01"
AAON,3/1/2018,"8.01, 9.01"
AAON,3/16/2018,"5.02, 9.01"
AAON,5/3/2018,"2.02, 7.01, 9.01"
